Market_Names,Date,NonComm_Long,NonComm_Short,Change_Long,Change_Short,Net_Position,Market_Type,Total,ReleaseDate
US10,2023-12-26,430563,1235547,-13639.0,103773.0,-804984,Bonds,1666110,2023-12-29
CAD,2023-12-19,28862,83195,9405.0,8493.0,-54333,Forex,112057,2023-12-22
USD,2023-12-19,15852,11910,-12248.0,1411.0,3942,Forex,27762,2023-12-22
JPY,2023-12-19,31734,96636,3508.0,-12721.0,-64902,Forex,128370,2023-12-22
NAS100,2023-12-19,71467,49283,-149.0,-14229.0,22184,Indices,120750,2023-12-22
XAU,2023-12-19,280972,79633,7436.0,-5670.0,201339,Commodity,360605,2023-12-22
SP500,2023-12-19,247784,443785,-8775.0,127006.0,-196001,Indices,691569,2023-12-22
BTC,2023-12-19,16517,18868,803.0,1087.0,-2351,Crypto,35385,2023-12-22
NZD,2023-12-19,14562,17954,1289.0,-8807.0,-3392,Forex,32516,2023-12-22
USOil,2023-12-19,334735,151992,-11250.0,-42394.0,182743,Commodity,486727,2023-12-22
EUR,2023-12-19,208078,93486,-23759.0,8976.0,114592,Forex,301564,2023-12-22
GBP,2023-12-19,68810,48884,-3201.0,-1546.0,19926,Forex,117694,2023-12-22
US30,2023-12-19,29883,22760,3915.0,243.0,7123,Indices,52643,2023-12-22
US10,2023-12-19,444202,1131774,-69774.0,60867.0,-687572,Bonds,1575976,2023-12-22
CHF,2023-12-19,6723,12811,2753.0,-5633.0,-6088,Forex,19534,2023-12-22
AUD,2023-12-19,35277,85954,4310.0,2647.0,-50677,Forex,121231,2023-12-22
NZD,2023-12-12,13273,26761,1477.0,-1485.0,-13488,Forex,40034,2023-12-15
BTC,2023-12-12,15714,17781,-2193.0,-2376.0,-2067,Crypto,33495,2023-12-15
EUR,2023-12-12,231837,84510,-3847.0,1186.0,147327,Forex,316347,2023-12-15
NAS100,2023-12-12,71616,63512,-3584.0,-3286.0,8104,Indices,135128,2023-12-15
SP500,2023-12-12,256558,316779,-2937.0,7989.0,-60221,Indices,573337,2023-12-15
US10,2023-12-12,513976,1070907,31421.0,-48104.0,-556931,Bonds,1584883,2023-12-15
JPY,2023-12-12,28226,109357,-40.0,-23865.0,-81131,Forex,137583,2023-12-15
USD,2023-12-12,28100,10499,-99.0,2244.0,17601,Forex,38599,2023-12-15
CHF,2023-12-12,3970,18444,238.0,-3140.0,-14474,Forex,22414,2023-12-15
XAU,2023-12-12,273536,85303,-15304.0,7.0,188233,Commodity,358839,2023-12-15
US30,2023-12-12,25968,22517,-285.0,-3428.0,3451,Indices,48485,2023-12-15
GBP,2023-12-12,72011,50430,5652.0,-4264.0,21581,Forex,122441,2023-12-15
CAD,2023-12-12,19457,74702,-296.0,-2899.0,-55245,Forex,94159,2023-12-15
USOil,2023-12-12,345985,194386,-3676.0,13715.0,151599,Commodity,540371,2023-12-15
AUD,2023-12-12,30967,83307,-1919.0,-7260.0,-52340,Forex,114274,2023-12-15
US30,2023-12-05,26253,25945,4057.0,-20859.0,308,Indices,52198,2023-12-08
US10,2023-12-05,482555,1119011,-28438.0,-77336.0,-636456,Bonds,1601566,2023-12-08
XAU,2023-12-05,288840,85296,-1005.0,-4465.0,203544,Commodity,374136,2023-12-08
SP500,2023-12-05,259495,308789,-15950.0,-35564.0,-49294,Indices,568284,2023-12-08
USD,2023-12-05,28199,8255,-599.0,-1456.0,19944,Forex,36454,2023-12-08
NZD,2023-12-05,11796,28246,1692.0,-1467.0,-16450,Forex,40042,2023-12-08
BTC,2023-12-05,17907,20157,-1072.0,-567.0,-2250,Crypto,38064,2023-12-08
CAD,2023-12-05,19753,77601,762.0,-4632.0,-57848,Forex,97354,2023-12-08
EUR,2023-12-05,235684,83324,2230.0,-6965.0,152360,Forex,319008,2023-12-08
CHF,2023-12-05,3732,21584,-568.0,-3005.0,-17852,Forex,25316,2023-12-08
GBP,2023-12-05,66359,54694,5063.0,-14497.0,11665,Forex,121053,2023-12-08
AUD,2023-12-05,32886,90567,3683.0,-9855.0,-57681,Forex,123453,2023-12-08
JPY,2023-12-05,28266,133222,-2195.0,-6476.0,-104956,Forex,161488,2023-12-08
NAS100,2023-12-05,75200,66798,-3502.0,-4626.0,8402,Indices,141998,2023-12-08
USOil,2023-12-05,349661,180671,-2721.0,11460.0,168990,Commodity,530332,2023-12-08
CHF,2023-11-28,4300,24589,-427.0,868.0,-20289,Forex,28889,2023-12-01
US30,2023-11-28,22196,46804,5795.0,-3905.0,-24608,Indices,69000,2023-12-01
AUD,2023-11-28,29203,100422,-362.0,-7113.0,-71219,Forex,129625,2023-12-01
BTC,2023-11-28,18979,20724,1829.0,2698.0,-1745,Crypto,39703,2023-12-01
NZD,2023-11-28,10104,29713,2146.0,4901.0,-19609,Forex,39817,2023-12-01
EUR,2023-11-28,233454,90289,2359.0,-11152.0,143165,Forex,323743,2023-12-01
USD,2023-11-28,28798,9711,255.0,1865.0,19087,Forex,38509,2023-12-01
USOil,2023-11-28,352382,169211,1597.0,25750.0,183171,Commodity,521593,2023-12-01
XAU,2023-11-28,289845,89761,20144.0,-8235.0,200084,Commodity,379606,2023-12-01
JPY,2023-11-28,30461,139698,-8775.0,-4992.0,-109237,Forex,170159,2023-12-01
NAS100,2023-11-28,78702,71424,4376.0,2142.0,7278,Indices,150126,2023-12-01
GBP,2023-11-28,61296,69191,17996.0,-207.0,-7895,Forex,130487,2023-12-01
SP500,2023-11-28,275445,344353,28361.0,13369.0,-68908,Indices,619798,2023-12-01
CAD,2023-11-28,18991,82233,-416.0,-2614.0,-63242,Forex,101224,2023-12-01
US10,2023-11-28,510993,1196347,31406.0,58602.0,-685354,Bonds,1707340,2023-12-01
US30,2023-11-21,16401,50709,-4513.0,-6718.0,-34308,Indices,67110,2023-11-24
JPY,2023-11-21,39236,144690,11464.0,-13331.0,-105454,Forex,183926,2023-11-24
NZD,2023-11-21,7958,24812,-860.0,-1040.0,-16854,Forex,32770,2023-11-24
BTC,2023-11-21,17150,18026,1211.0,743.0,-876,Crypto,35176,2023-11-24
USOil,2023-11-21,350785,143461,-13594.0,-5184.0,207324,Commodity,494246,2023-11-24
US10,2023-11-21,479587,1137745,-34522.0,-38130.0,-658158,Bonds,1617332,2023-11-24
USD,2023-11-21,28543,7846,1272.0,309.0,20697,Forex,36389,2023-11-24
GBP,2023-11-21,43300,69398,-9497.0,-11129.0,-26098,Forex,112698,2023-11-24
AUD,2023-11-21,29565,107535,-3163.0,3851.0,-77970,Forex,137100,2023-11-24
EUR,2023-11-21,231095,101441,9905.0,-10842.0,129654,Forex,332536,2023-11-24
CHF,2023-11-21,4727,23721,-788.0,-1945.0,-18994,Forex,28448,2023-11-24
XAU,2023-11-21,269701,97996,15349.0,-980.0,171705,Commodity,367697,2023-11-24
NAS100,2023-11-21,74326,69282,4824.0,95.0,5044,Indices,143608,2023-11-24
SP500,2023-11-21,247084,330984,-21952.0,5282.0,-83900,Indices,578068,2023-11-24
CAD,2023-11-21,19407,84847,729.0,-4234.0,-65440,Forex,104254,2023-11-24
US30,2023-11-14,20914,57427,-1816.0,-2379.0,-36513,Indices,78341,2023-11-17
CAD,2023-11-14,18678,89081,1507.0,4189.0,-70403,Forex,107759,2023-11-17
NZD,2023-11-14,8818,25852,-581.0,1513.0,-17034,Forex,34670,2023-11-17
JPY,2023-11-14,27772,158021,534.0,26743.0,-130249,Forex,185793,2023-11-17
AUD,2023-11-14,32728,103684,-1321.0,4072.0,-70956,Forex,136412,2023-11-17
CHF,2023-11-14,5515,25666,-2539.0,50.0,-20151,Forex,31181,2023-11-17
USOil,2023-11-14,364379,148645,-16772.0,3464.0,215734,Commodity,513024,2023-11-17
US10,2023-11-14,514109,1175875,12673.0,69940.0,-661766,Bonds,1689984,2023-11-17
SP500,2023-11-14,269036,325701,4701.0,3213.0,-56665,Indices,594737,2023-11-17
XAU,2023-11-14,254352,98976,-7301.0,3539.0,155376,Commodity,353328,2023-11-17
BTC,2023-11-14,15939,17283,-1314.0,-1647.0,-1344,Crypto,33222,2023-11-17
NAS100,2023-11-14,69502,69187,-13100.0,2880.0,315,Indices,138689,2023-11-17
GBP,2023-11-14,52797,80527,-4735.0,6743.0,-27730,Forex,133324,2023-11-17
USD,2023-11-14,27271,7537,-595.0,-858.0,19734,Forex,34808,2023-11-17
EUR,2023-11-14,221190,112283,8707.0,-11144.0,108907,Forex,333473,2023-11-17
EUR,2023-11-07,212483,123427,1649.0,-2018.0,89056,Forex,335910,2023-11-10
AUD,2023-11-07,34049,99612,1244.0,-8303.0,-65563,Forex,133661,2023-11-10
NZD,2023-11-07,9399,24339,-4933.0,-2810.0,-14940,Forex,33738,2023-11-10
XAU,2023-11-07,261653,95437,600.0,-2191.0,166216,Commodity,357090,2023-11-10
CHF,2023-11-07,8054,25616,-834.0,1818.0,-17562,Forex,33670,2023-11-10
NAS100,2023-11-07,82602,66307,10234.0,676.0,16295,Indices,148909,2023-11-10
CAD,2023-11-07,17171,84892,-8247.0,10142.0,-67721,Forex,102063,2023-11-10
USD,2023-11-07,27866,8395,295.0,-191.0,19471,Forex,36261,2023-11-10
BTC,2023-11-07,17253,18930,1758.0,1689.0,-1677,Crypto,36183,2023-11-10
US30,2023-11-07,22730,59806,-1050.0,-85.0,-37076,Indices,82536,2023-11-10
GBP,2023-11-07,57532,73784,-6180.0,-10299.0,-16252,Forex,131316,2023-11-10
USOil,2023-11-07,381151,145181,-2631.0,23657.0,235970,Commodity,526332,2023-11-10
US10,2023-11-07,501436,1105935,-70859.0,-94058.0,-604499,Bonds,1607371,2023-11-10
SP500,2023-11-07,264335,322488,-10182.0,44521.0,-58153,Indices,586823,2023-11-10
JPY,2023-11-07,27238,131278,-10403.0,-10211.0,-104040,Forex,158516,2023-11-10
EUR,2023-10-31,210834,125445,-4735.0,-4871.0,85389,Forex,336279,2023-11-03
CHF,2023-10-31,8888,23798,-919.0,-1104.0,-14910,Forex,32686,2023-11-03
GBP,2023-10-31,63712,84083,-3407.0,-1672.0,-20371,Forex,147795,2023-11-03
USD,2023-10-31,27571,8586,-559.0,127.0,18985,Forex,36157,2023-11-03
JPY,2023-10-31,37641,141489,6677.0,10896.0,-103848,Forex,179130,2023-11-03
NZD,2023-10-31,14332,27149,884.0,850.0,-12817,Forex,41481,2023-11-03
CAD,2023-10-31,25418,74750,3092.0,3785.0,-49332,Forex,100168,2023-11-03
AUD,2023-10-31,32805,107915,4787.0,-3184.0,-75110,Forex,140720,2023-11-03
USOil,2023-10-31,383782,121524,-12748.0,25759.0,262258,Commodity,505306,2023-11-03
NAS100,2023-10-31,72368,65631,3349.0,-691.0,6737,Indices,137999,2023-11-03
SP500,2023-10-31,274518,277967,544.0,5410.0,-3449,Indices,552485,2023-11-03
XAU,2023-10-31,261053,97628,9584.0,-4456.0,163425,Commodity,358681,2023-11-03
BTC,2023-10-31,15495,17241,681.0,1973.0,-1746,Crypto,32736,2023-11-03
US10,2023-10-31,572295,1199993,29971.0,94307.0,-627698,Bonds,1772288,2023-11-03
US30,2023-10-31,23780,59891,-1379.0,-1228.0,-36111,Indices,83671,2023-11-03
US10,2023-10-24,542324,1105686,53246.0,-94132.0,-563362,Bonds,1648010,2023-10-27
JPY,2023-10-24,30964,130593,-2175.0,-5204.0,-99629,Forex,161557,2023-10-27
AUD,2023-10-24,28018,111099,-3547.0,-1205.0,-83081,Forex,139117,2023-10-27
NAS100,2023-10-24,69019,66322,-8519.0,3132.0,2697,Indices,135341,2023-10-27
GBP,2023-10-24,67119,85755,1582.0,9009.0,-18636,Forex,152874,2023-10-27
USOil,2023-10-24,396530,95765,7687.0,13310.0,300765,Commodity,492295,2023-10-27
CHF,2023-10-24,9807,24902,-520.0,-2503.0,-15095,Forex,34709,2023-10-27
SP500,2023-10-24,273974,272557,57315.0,-13998.0,1417,Indices,546531,2023-10-27
CAD,2023-10-24,22326,70965,686.0,786.0,-48639,Forex,93291,2023-10-27
US30,2023-10-24,25159,61119,6998.0,7747.0,-35960,Indices,86278,2023-10-27
XAU,2023-10-24,251469,102084,20057.0,-16590.0,149385,Commodity,353553,2023-10-27
USD,2023-10-24,28130,8459,-404.0,-908.0,19671,Forex,36589,2023-10-27
BTC,2023-10-24,14814,15268,2048.0,2829.0,-454,Crypto,30082,2023-10-27
EUR,2023-10-24,215569,130316,1256.0,-1587.0,85253,Forex,345885,2023-10-27
NZD,2023-10-24,13448,26299,-2560.0,4392.0,-12851,Forex,39747,2023-10-27
XAU,2023-10-17,231412,118674,11080.0,-30225.0,112738,Commodity,350086,2023-10-20
AUD,2023-10-17,31565,112304,-262.0,3900.0,-80739,Forex,143869,2023-10-20
NZD,2023-10-17,16008,21907,-2664.0,-854.0,-5899,Forex,37915,2023-10-20
NAS100,2023-10-17,77538,63190,8175.0,1667.0,14348,Indices,140728,2023-10-20
USD,2023-10-17,28534,9367,960.0,1270.0,19167,Forex,37901,2023-10-20
GBP,2023-10-17,65537,76746,-753.0,408.0,-11209,Forex,142283,2023-10-20
US30,2023-10-17,18161,53372,486.0,1045.0,-35211,Indices,71533,2023-10-20
USOil,2023-10-17,388843,82455,-23981.0,-8395.0,306388,Commodity,471298,2023-10-20
BTC,2023-10-17,12766,12439,1007.0,1831.0,327,Crypto,25205,2023-10-20
EUR,2023-10-17,214313,131903,6791.0,-87.0,82410,Forex,346216,2023-10-20
US10,2023-10-17,489078,1199818,8164.0,5922.0,-710740,Bonds,1688896,2023-10-20
SP500,2023-10-17,216659,286555,12195.0,-15911.0,-69896,Indices,503214,2023-10-20
CHF,2023-10-17,10327,27405,-1306.0,-303.0,-17078,Forex,37732,2023-10-20
JPY,2023-10-17,33139,135797,-3641.0,-459.0,-102658,Forex,168936,2023-10-20
CAD,2023-10-17,21640,70179,1298.0,3348.0,-48539,Forex,91819,2023-10-20
JPY,2023-10-10,36780,136256,-10764.0,-25276.0,-99476,Forex,173036,2023-10-13
AUD,2023-10-10,31827,108404,-7638.0,-13048.0,-76577,Forex,140231,2023-10-13
USD,2023-10-10,27574,8097,-483.0,-1145.0,19477,Forex,35671,2023-10-13
US30,2023-10-10,17675,52327,-1805.0,400.0,-34652,Indices,70002,2023-10-13
NAS100,2023-10-10,69363,61523,3276.0,-3129.0,7840,Indices,130886,2023-10-13
US10,2023-10-10,480914,1193896,-11146.0,-32045.0,-712982,Bonds,1674810,2023-10-13
USOil,2023-10-10,412824,90850,-48383.0,-20797.0,321974,Commodity,503674,2023-10-13
SP500,2023-10-10,204465,302465,-28783.0,-7871.0,-98000,Indices,506930,2023-10-13
XAU,2023-10-10,220332,148899,-8074.0,11719.0,71433,Commodity,369231,2023-10-13
BTC,2023-10-10,11759,10608,-205.0,-300.0,1151,Crypto,22367,2023-10-13
NZD,2023-10-10,18672,22761,2777.0,-784.0,-4089,Forex,41433,2023-10-13
CHF,2023-10-10,11633,27708,490.0,-177.0,-16075,Forex,39341,2023-10-13
EUR,2023-10-10,207522,131990,-4261.0,-850.0,75532,Forex,339512,2023-10-13
GBP,2023-10-10,66290,76338,-7621.0,-4253.0,-10048,Forex,142628,2023-10-13
CAD,2023-10-10,20342,66831,-1332.0,5006.0,-46489,Forex,87173,2023-10-13
NZD,2023-10-03,15895,23545,5263.0,-2268.0,-7650,Forex,39440,2023-10-06
US30,2023-10-03,19480,51927,1243.0,12072.0,-32447,Indices,71407,2023-10-06
JPY,2023-10-03,47544,161532,1375.0,5851.0,-113988,Forex,209076,2023-10-06
USD,2023-10-03,28057,9242,1451.0,-606.0,18815,Forex,37299,2023-10-06
BTC,2023-10-03,11964,10908,1034.0,1772.0,1056,Crypto,22872,2023-10-06
SP500,2023-10-03,233248,310336,-28490.0,-42570.0,-77088,Indices,543584,2023-10-06
EUR,2023-10-03,211783,132840,267.0,19723.0,78943,Forex,344623,2023-10-06
NAS100,2023-10-03,66087,64652,7780.0,7191.0,1435,Indices,130739,2023-10-06
AUD,2023-10-03,39465,121452,3361.0,-1467.0,-81987,Forex,160917,2023-10-06
US10,2023-10-03,492060,1225941,-17518.0,-15635.0,-733881,Bonds,1718001,2023-10-06
XAU,2023-10-03,228406,137180,-7154.0,17435.0,91226,Commodity,365586,2023-10-06
CHF,2023-10-03,11143,27885,-1234.0,6393.0,-16742,Forex,39028,2023-10-06
USOil,2023-10-03,461207,111647,-7844.0,-7349.0,349560,Commodity,572854,2023-10-06
CAD,2023-10-03,21674,61825,4668.0,12123.0,-40151,Forex,83499,2023-10-06
GBP,2023-10-03,73911,80591,-10839.0,11510.0,-6680,Forex,154502,2023-10-06
CHF,2023-09-26,12377,21492,181.0,1361.0,-9115,Forex,33869,2023-09-29
SP500,2023-09-26,261738,352906,60151.0,10909.0,-91168,Indices,614644,2023-09-29
XAU,2023-09-26,235560,119745,-2156.0,17192.0,115815,Commodity,355305,2023-09-29
USD,2023-09-26,26606,9848,2024.0,900.0,16758,Forex,36454,2023-09-29
BTC,2023-09-26,10930,9136,-1939.0,-2136.0,1794,Crypto,20066,2023-09-29
NZD,2023-09-26,10632,25813,3014.0,-3077.0,-15181,Forex,36445,2023-09-29
EUR,2023-09-26,211516,113117,4092.0,7674.0,98399,Forex,324633,2023-09-29
US30,2023-09-26,18237,39855,-779.0,3070.0,-21618,Indices,58092,2023-09-29
NAS100,2023-09-26,58307,57461,1492.0,3840.0,846,Indices,115768,2023-09-29
US10,2023-09-26,509578,1241576,19725.0,49407.0,-731998,Bonds,1751154,2023-09-29
CAD,2023-09-26,17006,49702,-2021.0,-17352.0,-32696,Forex,66708,2023-09-29
GBP,2023-09-26,84750,69081,-345.0,17669.0,15669,Forex,153831,2023-09-29
USOil,2023-09-26,469051,118996,26763.0,5134.0,350055,Commodity,588047,2023-09-29
JPY,2023-09-26,46169,155681,432.0,8325.0,-109512,Forex,201850,2023-09-29
AUD,2023-09-26,36104,122919,-676.0,-10807.0,-86815,Forex,159023,2023-09-29
SP500,2023-09-19,201587,341997,-79015.0,-39628.0,-140410,Indices,543584,2023-09-22
EUR,2023-09-19,207424,105443,-4952.0,6147.0,101981,Forex,312867,2023-09-22
USD,2023-09-19,24582,8948,-563.0,-10126.0,15634,Forex,33530,2023-09-22
GBP,2023-09-19,85095,51412,-12270.0,221.0,33683,Forex,136507,2023-09-22
XAU,2023-09-19,237716,102553,2012.0,-9287.0,135163,Commodity,340269,2023-09-22
AUD,2023-09-19,36780,133726,-10529.0,6884.0,-96946,Forex,170506,2023-09-22
NAS100,2023-09-19,56815,53621,-11859.0,-5997.0,3194,Indices,110436,2023-09-22
BTC,2023-09-19,12869,11272,976.0,1611.0,1597,Crypto,24141,2023-09-22
JPY,2023-09-19,45737,147356,7490.0,10396.0,-101619,Forex,193093,2023-09-22
CAD,2023-09-19,19027,67054,-21271.0,-15127.0,-48027,Forex,86081,2023-09-22
US10,2023-09-19,489853,1192169,22739.0,-19247.0,-702316,Bonds,1682022,2023-09-22
US30,2023-09-19,19016,36785,-3772.0,1097.0,-17769,Indices,55801,2023-09-22
NZD,2023-09-19,7618,28890,-7179.0,-527.0,-21272,Forex,36508,2023-09-22
USOil,2023-09-19,442288,113862,13490.0,11935.0,328426,Commodity,556150,2023-09-22
CHF,2023-09-19,12196,20131,3187.0,1784.0,-7935,Forex,32327,2023-09-22
BTC,2023-09-12,11893,9661,-40.0,-233.0,2232,Crypto,21554,2023-09-15
XAU,2023-09-12,235704,111840,-98.0,14044.0,123864,Commodity,347544,2023-09-15
US30,2023-09-12,22788,35688,543.0,1719.0,-12900,Indices,58476,2023-09-15
EUR,2023-09-12,212376,99296,-23356.0,-205.0,113080,Forex,311672,2023-09-15
USOil,2023-09-12,428798,101927,28326.0,777.0,326871,Commodity,530725,2023-09-15
AUD,2023-09-12,47309,126842,-6723.0,-10727.0,-79533,Forex,174151,2023-09-15
CAD,2023-09-12,40298,82181,-5463.0,11457.0,-41883,Forex,122479,2023-09-15
CHF,2023-09-12,9009,18347,-2485.0,1528.0,-9338,Forex,27356,2023-09-15
NZD,2023-09-12,14797,29417,-2050.0,-1430.0,-14620,Forex,44214,2023-09-15
SP500,2023-09-12,280602,381625,37178.0,3685.0,-101023,Indices,662227,2023-09-15
JPY,2023-09-12,38247,136960,1233.0,2810.0,-98713,Forex,175207,2023-09-15
US10,2023-09-12,467114,1211416,12234.0,-34999.0,-744302,Bonds,1678530,2023-09-15
NAS100,2023-09-12,68674,59618,-5366.0,-872.0,9056,Indices,128292,2023-09-15
GBP,2023-09-12,97365,51191,4720.0,4930.0,46174,Forex,148556,2023-09-15
USD,2023-09-12,25145,19074,2264.0,-448.0,6071,Forex,44219,2023-09-15
USOil,2023-09-05,400472,101150,41273.0,-17144.0,299322,Commodity,501622,2023-09-08
XAU,2023-09-05,235802,97796,-252.0,-14986.0,138006,Commodity,333598,2023-09-08
GBP,2023-09-05,92645,46261,-4498.0,-2481.0,46384,Forex,138906,2023-09-08
CHF,2023-09-05,11494,16819,3241.0,4048.0,-5325,Forex,28313,2023-09-08
NAS100,2023-09-05,74040,60490,1627.0,4239.0,13550,Indices,134530,2023-09-08
EUR,2023-09-05,235732,99501,5190.0,15638.0,136231,Forex,335233,2023-09-08
USD,2023-09-05,22881,19522,-1.0,-537.0,3359,Forex,42403,2023-09-08
AUD,2023-09-05,54032,137569,-7344.0,6008.0,-83537,Forex,191601,2023-09-08
BTC,2023-09-05,11933,9894,-1244.0,-1776.0,2039,Crypto,21827,2023-09-08
CAD,2023-09-05,45761,70724,3234.0,12436.0,-24963,Forex,116485,2023-09-08
SP500,2023-09-05,243424,377940,-16593.0,-14670.0,-134516,Indices,621364,2023-09-08
NZD,2023-09-05,16847,30847,-3707.0,-83.0,-14000,Forex,47694,2023-09-08
US30,2023-09-05,22245,33969,-2980.0,-1256.0,-11724,Indices,56214,2023-09-08
US10,2023-09-05,454880,1246415,29457.0,15439.0,-791535,Bonds,1701295,2023-09-08
JPY,2023-09-05,37014,134150,12224.0,10887.0,-97136,Forex,171164,2023-09-08
BTC,2023-08-29,13177,11670,-250.0,-242.0,1507,Crypto,24847,2023-09-01
NAS100,2023-08-29,72413,56251,2930.0,598.0,16162,Indices,128664,2023-09-01
NZD,2023-08-29,20554,30930,-924.0,2939.0,-10376,Forex,51484,2023-09-01
US30,2023-08-29,25225,35225,2299.0,-2419.0,-10000,Indices,60450,2023-09-01
US10,2023-08-29,425423,1230976,-99638.0,11040.0,-805553,Bonds,1656399,2023-09-01
JPY,2023-08-29,24790,123263,-3890.0,-740.0,-98473,Forex,148053,2023-09-01
USOil,2023-08-29,359199,118294,-3285.0,-9819.0,240905,Commodity,477493,2023-09-01
XAU,2023-08-29,236054,112782,9714.0,-11612.0,123272,Commodity,348836,2023-09-01
CHF,2023-08-29,8253,12771,-1947.0,-1295.0,-4518,Forex,21024,2023-09-01
CAD,2023-08-29,42527,58288,6534.0,10225.0,-15761,Forex,100815,2023-09-01
USD,2023-08-29,22882,20059,-446.0,1320.0,2823,Forex,42941,2023-09-01
AUD,2023-08-29,61376,131561,-10658.0,-4259.0,-70185,Forex,192937,2023-09-01
GBP,2023-08-29,97143,48742,-918.0,9788.0,48401,Forex,145885,2023-09-01
EUR,2023-08-29,230542,83863,-8849.0,3232.0,146679,Forex,314405,2023-09-01
SP500,2023-08-29,260017,392610,22654.0,28950.0,-132593,Indices,652627,2023-09-01
CAD,2023-08-22,35993,48063,-1119.0,-460.0,-12070,Forex,84056,2023-08-25
USOil,2023-08-22,362484,128113,-8684.0,-947.0,234371,Commodity,490597,2023-08-25
JPY,2023-08-22,28680,124003,-6109.0,8253.0,-95323,Forex,152683,2023-08-25
AUD,2023-08-22,72034,135820,3411.0,13800.0,-63786,Forex,207854,2023-08-25
US30,2023-08-22,22926,37644,-9331.0,2166.0,-14718,Indices,60570,2023-08-25
NZD,2023-08-22,21478,27991,-432.0,3645.0,-6513,Forex,49469,2023-08-25
SP500,2023-08-22,237362,363660,-23445.0,-3331.0,-126298,Indices,601022,2023-08-25
XAU,2023-08-22,226340,124394,-6738.0,12452.0,101946,Commodity,350734,2023-08-25
USD,2023-08-22,23328,18739,3711.0,4113.0,4589,Forex,42067,2023-08-25
US10,2023-08-22,525061,1219936,29851.0,-22202.0,-694875,Bonds,1744997,2023-08-25
BTC,2023-08-22,13427,11912,1446.0,-781.0,1515,Crypto,25339,2023-08-25
NAS100,2023-08-22,69483,55653,24.0,-8637.0,13830,Indices,125136,2023-08-25
EUR,2023-08-22,239391,80631,6925.0,8028.0,158760,Forex,320022,2023-08-25
GBP,2023-08-22,98061,38954,7520.0,-599.0,59107,Forex,137015,2023-08-25
CHF,2023-08-22,10200,14066,1507.0,1366.0,-3866,Forex,24266,2023-08-25
AUD,2023-08-15,68623,122020,7532.0,17737.0,-53397,Forex,190643,2023-08-18
SP500,2023-08-15,260808,366991,19773.0,-23115.0,-106183,Indices,627799,2023-08-18
BTC,2023-08-15,11981,12693,-1004.0,-1441.0,-712,Crypto,24674,2023-08-18
CAD,2023-08-15,37112,48523,7631.0,18419.0,-11411,Forex,85635,2023-08-18
USOil,2023-08-15,371168,129060,-7819.0,6001.0,242108,Commodity,500228,2023-08-18
GBP,2023-08-15,90541,39553,7302.0,3334.0,50988,Forex,130094,2023-08-18
JPY,2023-08-15,34789,115750,11654.0,9435.0,-80961,Forex,150539,2023-08-18
USD,2023-08-15,19617,14626,2370.0,3.0,4991,Forex,34243,2023-08-18
EUR,2023-08-15,232466,72603,4418.0,-5634.0,159863,Forex,305069,2023-08-18
US30,2023-08-15,32257,35478,-770.0,6482.0,-3221,Indices,67735,2023-08-18
XAU,2023-08-15,233078,111942,4232.0,26081.0,121136,Commodity,345020,2023-08-18
NZD,2023-08-15,21910,24346,3152.0,5220.0,-2436,Forex,46256,2023-08-18
CHF,2023-08-15,8693,12700,184.0,-1261.0,-4007,Forex,21393,2023-08-18
US10,2023-08-15,495210,1242138,-29484.0,25718.0,-746928,Bonds,1737348,2023-08-18
NAS100,2023-08-15,69459,64290,-711.0,-16759.0,5169,Indices,133749,2023-08-18
NAS100,2023-08-08,70170,81049,527.0,1.0,-10879,Indices,151219,2023-08-11
SP500,2023-08-08,241035,390106,5645.0,-34768.0,-149071,Indices,631141,2023-08-11
XAU,2023-08-08,228846,85861,-10139.0,11800.0,142985,Commodity,314707,2023-08-11
USOil,2023-08-08,378987,123059,15261.0,1192.0,255928,Commodity,502046,2023-08-11
BTC,2023-08-08,12985,14134,1230.0,1840.0,-1149,Crypto,27119,2023-08-11
US10,2023-08-08,524694,1216420,55202.0,101742.0,-691726,Bonds,1741114,2023-08-11
AUD,2023-08-08,61091,104283,14479.0,5879.0,-43192,Forex,165374,2023-08-11
US30,2023-08-08,33027,28996,-2692.0,-5143.0,4031,Indices,62023,2023-08-11
CAD,2023-08-08,29481,30104,-6797.0,191.0,-623,Forex,59585,2023-08-11
NZD,2023-08-08,18758,19126,3207.0,5161.0,-368,Forex,37884,2023-08-11
JPY,2023-08-08,23135,106315,-3714.0,250.0,-83180,Forex,129450,2023-08-11
EUR,2023-08-08,228048,78237,-12026.0,10225.0,149811,Forex,306285,2023-08-11
CHF,2023-08-08,8509,13961,1210.0,-2085.0,-5452,Forex,22470,2023-08-11
GBP,2023-08-08,83239,36219,-8936.0,-6394.0,47020,Forex,119458,2023-08-11
USD,2023-08-08,17247,14623,-1247.0,-756.0,2624,Forex,31870,2023-08-11
XAU,2023-08-01,238985,74061,-9244.0,-529.0,164924,Commodity,313046,2023-08-04
BTC,2023-08-01,11755,12294,-186.0,-292.0,-539,Crypto,24049,2023-08-04
EUR,2023-08-01,240074,68012,-10573.0,-5405.0,172062,Forex,308086,2023-08-04
CAD,2023-08-01,36278,29913,-6481.0,-7316.0,6365,Forex,66191,2023-08-04
AUD,2023-08-01,46612,98404,7504.0,8095.0,-51792,Forex,145016,2023-08-04
